Number,Title
051068,Mehrkriterielle Optimierung
051072,Zeitreihenökonometrie
051076,Advanced Quality Control
050628,Generalisierte Lineare Modelle
050107,Fallstudien II
050151,Statistik VI: Entscheidungstheorie
050153,Stichprobenverfahren
050155,Fortgeschrittene Versuchsplanung
050627,Generalisierte Lineare Modelle
050675,Unit Root and Cointegration Analysis
051060,Vorkurs Masterstudierende
050223,SPSS-Kurs
050219,Statistik in der Öffentlichkeit
050221,Einführung in das Bachelor-/Masterstudium
050202,Anleitung zum selbstständigen wissenschaftlichen Arbeiten
050201,Statistisches Kolloqium
050200,Anwenderseminar / Berufspraktisches Kolloquium
050212,Oberseminar: Robuste Statistik
050229,Oberseminar: Biostatistik und  Bioinformatik
050215,Oberseminar: Ökonometrie
050233,Oberseminar: Finanzökonometrie
050218,Bachelorabschlussarbeit
050225,Masterabschlussarbeit
050226,Diplomarbeit
05xxxx,Einführung in die Humangenetik
201 950,Anatomie II
201 951,Biochemie II
201 952,Physiologie II
201 953,Grundlagen der klinischen Chemie
201 954,Grundlagen der Mikrobiologie
201 955,Grundlagen der Pharmakologie
201 956,Klinisches Propädeutikum -Ringvorlesung
201 958,Arbeitsmedizin
201 961,Pathologie
051031,Intensive Course in Statistics for Researchers in Engineering Sciences
050306,Ökonometrie für Wirtschafts- u. Sozialwissenschaftler
091062,"Datenanalyse für Raumplaner (""Empirische Analysemethoden"")"
091062Ü,"Datenanalyse für Raumplaner (""Empirische Analysemethoden"")"
050655,Statistische Verfahren im Qualitätsmanagement
067050,TH - Grundlagen der Wärmeübertragung
067051,TH - Grundlagen der Wärmeübertragung
067053,TH - Grundlagen der Wärmeübertragung
080737,Regelungstechnik für WIng und MB
080738,Übung zu Regelungstechnik für Maschinenbauingenieure
080738,Übung zu Regelungstechnik für Wirtschaftsingenieure
080741 G,Labor für Wirt.-Ing. V301
080741 G,Labor für Wirt.-Ing. V302
080741 J,Labor für Wirt.-Ing. V408 Messen und Erzeugen hoher Wechsel- und Stoßspannungen
080006 B,Praktikum 4: Energietechnik BENT 02
080020,Automatisierter Entwicklungsprozess von Kommunikationssystemen
080165,Technologie der Energiewandlung - Teil Elektrische Maschinen und Stellglieder
08 0247,Schnellschaltende Leistungselektronische Systeme
080132,Mobilfunknetze und Protokolle I: Vorlesung
080208,Dezentrale und regenerative Energieversorgung
080209,Dezentrale und regenerative Energieversorgung
080705,Distributed Systems
080706,Distributed Systems
061554,DYN - Process Optimization für A&R
061555,DYN - Process Optimization für A&R
061580,DYN - Logic Control
061581,DYN - Logic Control
061610,DYN - Dynamic Models / Modeling of dynamic systems A&R (Spring Term)
061611,DYN - Dynamic Models / Modeling of dynamic systems A&R (Spring Term)
061612,DYN - Data-based Dynamic Modeling (Summer Term)
061613,DYN - Data-based Dynamic Modeling (Summer Term)
061620,DYN - Logistics of Chemical Production Processes (Summer Term)
061621,DYN - Logistics of Chemical Production Processes (Summer Term)
080125,Modellierung und Regelung von Robotern / Modeling and Control of Robotic Manipulators
080126,Modellierung und Regelung von Robotern / Modeling and Control of Robotic Manipulators
080154,Mobile Robots / Mobile Roboter
080155,Mobile Robots / Mobile Roboter
080259,3D Computer Vision
080385,Scheduling Problems and Solutions
080386,Scheduling Problems and Solutions
080395,Scheduling Problems and Solutions
080518,Projektgruppe am Lehrstuhl RST (englisch)
,Versuch 207 (Digitaler Signalprozessor/Digital Signal Processor)
080056,Einführung in die elektrische Energietechnik
080059,Einführung in die elektrische Energietechnik
080735,Einführung in die Elektrizitätswirtschaft
080736,Einführung in die Elektrizitätswirtschaft
080006 D,Labor für Wirt.-Ing. V409 - Gasentladung
080227,Elektrizitätswirtschaft
080228,Elektrizitätswirtschaft
080129,"Doktorandenseminar Energiesysteme, Energieeffizienz und Energiewirtschaft"
080129,Promotionsvortrag
080190,Ausgewählte Kapitel der Elektrischen Energieversorgung
080130,Exkursion zum Fachgebiet Energietechnik
080195,Exkursion zum Fachgebiet Hochfrequenztechnik
080615,Grundlagen der Elektrotechnik für Maschinenbauer und Logistiker
080007,Praktikum 3: Robotik
080022,Praktikum 6: Simulation und Regelung von Robotersystemen
0920383,Financialization and Urban Development in the 21st century city
09Dok,Doktorandenkolloquium (selbstorganisiert)
090815,Adobe InDesign - Einführung
090816,Photoshop - Einführung
090817,Adobe InDesign - Einführung
090818,Photoshop - Einführung
091020,Tutor/-innen-Schulung
09124a,Städtebauliches Kolloquium
09124d,Freihandzeichnen
09124f,Forschungskolloquium
09124g,Internationaler Workshop mit der MSU
091252,Berufsforum
,Sprachkurse
09-2246,Einführungsprogramm M.Sc. Raumplanung
09-2246,M-Börse für Master-Projekt/Master-Entwurf (Modul 2)
093000,SPRING-Kolloquium
,Studienorganisation 2. Studienabschnitt und Übergang in den Master
09-2383,Fachschaftssitzung
1010302,Darstellung 2 (Modul 103 B)
1010402,Gestaltungsgrundlagen II (Modul 104)
1010503,TGA I (Modul 105/302)
1011202,Geschichte der Baukunst II/IV (Modul 111/112)
1011302,Denkmalpflege II (Modul 113)
1011402,Einführung in das Entwerfen II (Modul 114)
1011502,Gebäudelehre-Entwurf (Modul 115)
1011502,Grundlagen der Gebäudelehre (Modul 115)
1011602,Baukonstruktion I A / B (Modul 116)
1011701,Baukonstruktion II A (Modul 117/306)
1011802,Einführung in das städtebauliche Entwerfen (Modul 118)
1011901,Projekt 1 (Module 119 / 307)
1012001,Projekt 2 (Module 120 / 308)
1030301,Baustoffkunde I + II (Module 103 / 105 / 303)
1030502,Tragkonstruktionen II (Modul 107/305)
1030602,Tragkonstruktionen IV (Modul 108/306)
1031802,Baubetrieb II (Modul 109/318)
1031902,Baurecht I (Modul 110/319)
1089999,Bachelor-Thesis (mit Entwurfsvertiefung)
1030302,Arbeiten mit Baustoffen (BA-WPF)
1080201,Theorie der Konstruktion I (BA-WPF)
1080202,Konkrete Konstruktion I (BA-WPF)
1080203,Freie Konstruktion I (BA-WPF)
1080404,Konstruktion und Ort I/II (WPF)
1080501,Experimentelle Darstellung: Fotodokumentation (BA-WPF)
1080502,Gestaltungslehre: Freihandzeichnen (BA-WPF)
1080503,Herbstakademie (BA-WPF)
1080702,Konstruieren von Tragwerken (BA-WPF)
1081401,Bodenmechanisches Praktikum (BA-WPF)
1081591,Bauverfahrenstechnik II (BA-WPF)
1081592,Projektentwicklung und Immobilienmanagement I (BA-WPF)
1081912,Spezialgebiete der Denkmalpflege (Bachelor/Master) (WPF)
1082002,Analyse einer Stadt I (BA-WPF)
1082051,CAD 3D- Konstruktion und Visualisierung (WPF)
1082101,Wochenentwurf / Stegreif-Entwurf I (BA-WPF)
1010303,Konstruktive Darstellungsmethoden (Modul 103/301)
1030102,CAD II (Modul 103C)
1031201,Technische Mechanik II (V/Ü/Tut.) (Modul 312)
1031501,Stahlbau II (Modul 315)
1031601,Stahlbeton II (Modul 316)
1031701,Baugrund-Grundbau I (Modul 317)
1031602,Befestigungstechnik I (BA-WPF)
1080801,Erhalten und Verstärken von Tragwerken aus Stahlbeton (BA-WPF)
1081001,Sonderkonstruktionen im Stahlhallenbau (BA-WPF)
1081601,Lineare Finite Elemente Methode 2: Flächentragwerke (BA-WPF)
1081602,Lineare Finite Elemente Methode 3: ANSYS (BA-WPF)
1081803,Erweiterte Betontechnologie II (BA-WPF/MA-WPF)
1081804,Erweiterte Betontechnologie III (BA-WPF/MA-WPF)
1081902,Bauaufmaß (BA-WPF)
1020102,Bauleitplanung (Modul 201)
1020302,Entwerfen und Baukonstruktion Teil A und B (Modul 203)
1020501,Geschichte und Theorie der Architektur (Modul 205)
1020601,Projekt 3 (Modul 206/402/523)
1020701,Städtebaulicher Entwurf (Modul 207)
1040302,Tragkonstruktionen VI (Modul 204/403/512)
1081314,Bauphysikalische Gebäudeplanung - Akustik (MA-WPF)
1080112,"Verkehrsplanung (MA-WPF, Städtebau)"
1080118,"Stadtanalyse (MA-WPF, Städtebau)"
1040701,Baustoffkunde IV / Angewandte Werkstofftechnologie (Modul 407 / MA-WPF 2 18 06)
1080111,"Wohnungswesen / Wohnungswirtschaft (MA-WPF, Städtebau)"
1080119,Grundlagen der technischen Ver- und Entsorgung (MA-WPF)
1080211,Theorie der Konstruktion II (MA-WPF)
1080213,Freie Konstruktion II (MA-WPF)
1080403,Baureif (MA-WPF)
1081315,Brandschutzplanung in Praxis II (MA-WPF)
1081316,Raumakustik (MA-WPF)
1081317,Einsatz erneuerbarer Energien in der Gebäudetechnik (MA-WPF)
1081351,Thermische Gebäudesimulation (MA-WPF)
1081911,Bauaufmaß (MA-WPF)
1082002,Analyse einer Stadt II (MA-WPF)
1082102,Wochenentwurf / Stegreif-Entwurf II (MA-WPF)
1040102,Dynamik und Schwingungslehre (Modul 401)
1040403,Spannbeton II (Modul 404)
1040502,Stahlbau VI (Modul 405)
1081411,Baugrund-Grundbau IV
1080212,Konkrete Konstruktion II (MA-WPF)
1080713,Sondergebiete TK (MA-WPF)
1080811,FEM-Anwendung im Betonbau (MA-WPF)
1080815,"Brücken in Beton-, Stahl- und Verbundbauweise (MA-WPF)"
1080817,Spannbeton ohne Verbund (MA WPF)
1080911,Nichtlineare Materialtheorie (WPF)
1081012,Stahlbau / Stahlleichtbau (MA-WPF)
1081414,Tunnelbau
1081603,Strukturoptimierung - MA-WPF
1081611,Nichtlineare FEM (MA-WPF)
0920361,Immobilienresearch - Praxis- und Forschungsschwerpunkte in der Immobilienentwicklung
1050101,Bauprojektabwicklung I
1050102,Bauprojektabwicklung II (Modul 501)
1050202,Baurecht III (Modul 502)
1050302,Bauwirtschaft IV (Modul 524)
1050402,Facility Management I (Modul 504)
1050403,Strategisches Vertragsmanagement I (Modul 525)
1050501,Projektentwicklung und Immobilienmanagement II (Modul 521)
1050601,Rhetorik II (Modul 506)
1050701,Projektmanagement 3 (Modul 507)
1051102,Bauverfahrenstechnik IV (Modul 511)
1051301,Projekt 3 (Modul 523)
1051602,Portfoliomanagement (Modul 522)
1081117,Vertrags- und Nachtragsmanagement I (Modul 527)
1081503,Immobilienrecht (MA-WPF)
1051403,Bauvorhaben und die öffentliche Verwaltung
1051515,Immobilienbewertung (WPF)
1081116,Projektmanagement mit Primavera
1081116,Refurbishment und Bauen im Gebäudebestand (MA-WPF)
1081514,Grundlagen Building Information Modeling
1081515,Compliance und Kartellrecht (MA-WPF)
130000,Beratung und Bewerbung
131446,Kolloquium für Bachelor- und Masterarbeiten im Bereich Rehabilitation und Pädagogik bei geistiger Behinderung
132117,Forschungskolloquium: Inklusive Bildungs-/Inklusive Schulentwicklungsforschung
132592,"Kolloquium für DoktorandInnen, Master- und BachelorkandidatInnen"
133157,TIP Kolloquium
134206,Forschungskolloquium für Abschlussarbeiten
134365,Grundlagen quantitative Forschungsarbeiten
134372,Doktorandenkolloquium
,Klausurtermine
146015,Die Korintherbriefe im soziokulturellen Kontaxt des 1. Jhd. n. Chr.
146016,Das Johannesevangelium im Vergleich zu den synoptischen Evangelien
146136,Begleitseminar zum Berufsfeldpraktikum
146XX5,Klausur Evangelische Theologie
,Lerntag British Modulprüfung
157327,Die Wirtschaftsmacher - Gastvortragsreihe
157508,Journalismus und Trauma
157297,Lehrredaktion Fernsehen
157296,Lehrredaktion Hörfunk
157295,Lehrredaktion Online
157294,Lehrredaktion Print
157293,Sachwissen Europa
157298,Statistik für Journalistinnen und Journalisten
157299,Einführung in die journalistische und wissenschaftliche Ethik
157307,Einführung in die Medienökonomie des Journalismus
157308a,Entwicklungen des Medienrechts (Medienrecht II) - Gruppe A
157308b,Entwicklungen des Medienrechts (Medienrecht II) - Gruppe B
157309,Methoden der empirischen Kommunikationsforschung
157311,Einführung in den Fernsehjournalismus
157312,Einführung in den Radiojournalismus
157313,Einführung in den Print- und Onlinejournalismus
157317a,Projekt Journalismusforschung II: Befragungsverfahren - Gruppe A
157317b,Projekt Journalismusforschung II: Befragungsverfahren - Gruppe B
157321,Masterkolloquium II
157328,Integrationsmodul II
157330,Einführung in den Datenjournalismus
157331,Praxis des wirtschaftspolitischen Journalismus II: Radio
157335,Wissenschaftsrecherche und -vermittlung
157337,Wissenschaftsjournalistisches Projekt II
157341,Infografiken
157342,Recherche und Datenquellen
157343,Datenjournalistisches Projekt II
157344,Redaktionelles Qualitätsmanagement
157503,Internationale Mediensysteme und journalistische Kulturen
157504,Rechercherecht
157505,Projektseminar Justizberichterstattung
157506,Journalismus in Theorie und Praxis II
157507,Reflexionsseminar Qualität und Ethik (Volontariat)
157509,Konfliktsensitiver Journalismus
157510,Bildungswege: Rechercheseminar und crossmediale Konzeption
157511,Wahrnehmungspsychologische Grundlagen der Rezeption und Wirkung von Medien
157512,Media Accountability - A Global Perspective
157513,Deutsch-französisches Seminar
157514,"Die Funktion von Facebook, Google & Co. als Informationsintermediäre - und ihre Folgen für den Journalismus"
157515,Googelst du noch oder recherchierst du schon? Netzwerk Recherche - Seminar im Rechercheschwerpunkt mit Übung (Mobile Reporting)
157517,Kulturberichterstattung
157518,Wie die Digitalisierung den Sportjournalismus verändert
157519,Social Media: Wissen und Handwerk für die journalistische Praxis/Redaktion NRWision
157520,Moderations- und Interviewtraining + Programmredaktion NRWision
159108,Volo-Ringvorlesung
0602EmA,Engineering meets Art Seminar Musik (anrechenbar für StuFu der BCI)
160101,Mask & Music
160102,Universitätschor
160104,Kammerchor
160104a,Wie schreibe ich eine musikpädagogische Hausarbeit? Vorbereitung für das wissenschaftliche Arbeiten in der Musikpädagogik
160105,Gitarrenensemble
160106,Big Band I
160107,Big Band II
160108,"Studentenchor ""tu sing"""
160109,Ensemble für Neue Kammermusik
160111,Sinfonisches Blasorchester
160146a,Hörseminar Jazz- und Rockgeschichte
160198,Opernkino
999999,Testveranstaltung Prod SoSe 2018
211001,"Statistik-Server Nutzung. Wieso, weshalb, warum?"
211002,LaTeX für Neulinge - Ein praxisorientierter Workshop zum Einstieg
211003,Brücken bauen leicht gemacht - Wie fachübergreifende Zusammenarbeit gelingt
211004,Auf ein Word
211005,3D-Druck für Einsteiger - Ideen begreifbar machen
211006,Techniken wissenschaftlichen Arbeitens
211007,LaTeX für Neulinge - Ein praxisorientierter Workshop zum Einstieg
211008,Von der Idee bis zur Abgabe
211009,Excel für Einsteiger
211010,Zeit- und Selbstmanagement
211012,3D-Druck für Einsteiger - Ideen begreifbar machen
211012,Ein sicherer Auftritt - Stimme und Körpersprache bei Präsentationen und Co.
211013,Linux-Server leicht gemacht
,Sprachkurse zhb Bereich Fremdsprachen
0601EmA,Engineering meets Art Seminar Fotografie (anrechenbar für StuFu der BCI)
078826,Technik Light - für Hörer aller Fakultäten ! ( Fragen? Anmeldung! Bitte per Email kontaktieren)
091061,Einführung in die Stadt- und Regionalsoziologie
091082,"Raum, Recht und Verwaltung II"
091202,Ver- und Entsorgungssysteme
09124b,English Urban Planning (Fachsprachlicher Englischkurs) A
09124e,Städtebauliche  Exkursionen
09124h,Fleisch und Fläche
11xxxx,Begriffliche Grundlagen der Techniksoziologie
11xxxx,Concepts and Cases in International Marketing
11xxxx,DV-gestützte Methoden
11xxxx,Einkommensteuer der Studenten
11xxxx,Hochschuldidaktik und Hochschulforschung
11xxxx,International Business
11xxxx,Mikroökonomie
11xxxx,Techniksoziologie
11xxxx,Technologieorientiertes Unternehmertum
124503,Wem gehört die Zeit
150100,Sammelanmeldung Einführung in die Literaturwissenschaft
150110,Sammelanmeldung Einführung in die Sprachwissenschaft
160160,Musikgeschichte II
160283,Atelier 3 Young LAB Gleichstellung
124725,Wahlpflichtseminar Pädagogischen Psychologie
124738,Unterrichtsevaluation
061560,DYN - Controller Design Fundamentals (Spring Term)
061561,DYN - Controller Design Fundamentals (Spring Term)
061614,DYN - Dynamic Simulation (Summer Term)
143209c,"Political Theory: Political Ideologies (held in English) - Registration via ""Sammelanmeldung politische Theorie"""
143210b,"Introduction to the European Union (held in English) - Registration via ""Sammelanmeldung Europa"""
010502,Analysis II
010503,Analysis II
010506,Lineare Algebra II
010507,Lineare Algebra II
010550,Programmierkurs
010560,Einführung in LaTeX
010716,Stochastik I
010717,Stochastik I
010786,Algebra II
010787,Algebra II
010806,Kombinatorische Optimierung auf Graphen
010807,Kombinatorische Optimierung auf Graphen
010808,Optimierung
010809,Optimierung
010814,Designs und Codes
010815,Designs und Codes
010882B,Algebraische Geometrie I (Teil II)
010883B,Algebraische Geometrie I (Teil II)
011138,Evolutionsgleichungen
011139,Evolutionsgleichungen
011172,Semidefinite Optimierung
011173,Semidefinite Optimierung
011250,Praxis der Optimierung
011284,Approximationstheorie II
011285,Approximationstheorie II
011302,Konvexe Analysis
011303,Konvexe Analysis
011358,Numerik für Partielle Differentialgleichungen II
011359,Numerik für Partielle Differentialgleichungen II
011366,Numerik hyperbolischer Erhaltungsgleichungen
011367,Numerik hyperbolischer Erhaltungsgleichungen
011410,Stochastische Analysis und Finanzstochastik
011411,Stochastische Analysis und Finanzstochastik
011416,Inverse Probleme I
011417,Inverse Probleme I
011420,Finite element methods for saddle point problems
012600,Introduction to CFD
012601,Introduction to CFD
011700,Proseminar zu Analysis III
011701,"Proseminar zu Lineare Algebra I/II (Mathematik, B.Sc.)"
011705,Proseminar zu Numerik
011706,Proseminar zu Numerische Simulation / Numerik
010734,Computerorientiertes Problemlösen
011184,Forschungsseminar Differentialgeometrie
011907,Master-Seminar zu Approximationstheorie
011908,Bachelor-/Master-Seminar zu Numerik
012015,Studienprojekt Wirtschaftsmathematik (Master)
012031,Bachelor-Master-Seminar zu Konzentrationsungleichungen und Compressive Sensing
012037,Seminar Ausgewählte Themen der Partiellen Differentialgleichungen
012038,Masterseminar zu Stochastik und Finance
012039,Masterseminar zu Stochastik (Risikotheorie)
012040,Seminar zur Algebraischen Statistik
012115,Studienprojekt Wirtschaftsmathematik (Master)
012200,Studienprojekt Modellbildung und Simulation - Technomathematik (Bachelor)
012202,"Studienprojekt Modellbildung / Simulation - Technomathematik, (Master)"
016001,Oberseminar PDGL
016003,Oberseminar Approximationstheorie
010510,Analysis II für Lehramt Gymnasium
010511,Analysis II für Lehramt Gymnasium
010514,Lineare Algebra II LA Gym
010515,Lineare Algebra II LA Gym
010770,Geometrie für Lehramt: Elementare Differentialgeometrie und Kartographie
010771,Geometrie für Lehramt: Elementare Differentialgeometrie und Kartographie
010717,Proseminar zu Lineare Algebra I/II LA Gym: Elementargeometrie
011702,Proseminar Analysis I/II LA Gym
011943,Seminar zu Algebra und Zahlentheorie (Lehramt)
011952,Seminar zu Algebra und Zahlentheorie (Lehramt)
011978A,Seminar Analysis III LA Gym A
011978B,Seminar zu Analysis III (Lehramt)
011978C,Seminar zu Analysis III (Lehramt)
013090,"Oberseminar ""Didaktik Mathematik in der Sekundarstufe"""
013091,"Oberseminar ""Didaktik der Mathematik in der Primarstufe"""
012502,Numerical Solution of Differential Equations
012503,"Numerical Solution of Differential Equations,"
020510,Experimentelle Übungen II GyGe/BK (Modul PR_GY)
020511,Experimentelle Übungen für Lehramt HR
020515,"Begleitseminar ""Berufsfeldpraktikum"" (CP-03-150) Modul BFP"
020518,Diagnose und individuelle Förderung (Seminar) Modul GFP
020512,"Fortgeschrittenenpraktikum für GyGe/BK Studierende im Master, Modul V2.9_GY"
020516,Begleitseminar zur vermittlungsorientierten Praxisphase
020517,Betreuungsseminar zu Bachelor-/Masterarbeiten
020520,Physik in der Schule (CP-03-150)
020522,Schulorientiertes Experimentieren (Seminar) Modul SE_
,Schulorientiertes Experimentieren (Seminar und experimentelle Übungen) Modul SE_
,Vorbereitungsseminar zum Praxissemester (TPM Teil 1)
020524,Tutorentätigkeit in der Physikausbildung
036408,Begleitseminar zum Berufsfeldpraktikum im Fach Sachunterricht (Naturwissenschaften)
030118,Allgemeine und Anorganische Chemie Praktikum 2
030453,Übungen zur Physikalische Chemie 1 (BfP/MEd/LABG2009)
036202,Modul  M-DC-1L: Didaktik der Chemie 1 Seminar
036203,Modul DC-1L: Didaktik der Chemie 1 Laborpraktikum
036330,"Berufsfeldpraktikum: Begleitseminar ""Theoriegeleitete Erkundung des Berufsfelds im Fach Chemie"""
036302,Modul DC-1: Didaktik der Chemie 1 Seminar
036310,Modul TC: Technische und Analytische Chemie Vorlesung
036311,Modul TC: Technische und Analytische Chemie Laborpraktikum: Ausgewählte Aspekte der Technischen und Analytischen Chemie
036312,Modul TC: Technische und Analytische Chemie Seminar zu ausgewählten Aspekten der Technischen und Analytischen Chemie
036317,Modul PC: Physikalische Chemie
036318,Modul PC: Physikalische Chemie
030452,Physikalische Chemie 1 (BfP/MEd/LABG2009)
036352,Modul DC II:  Didaktik des Chemieunterrichts II Unterrichtsmethoden und Medien
036360,Modul TPM: Vorbereitungsseminar zum Praxissemester
036370,Modul FV: Fachwissenschaftliche und fachdidaktische Vertiefung; Reflexion des Praxissemesters
036371,Modul FV: Fachwissenschaftliche und fachdidaktische Vertiefung - Vorlesung Angewandte Chemie: Teil A: Nachwachsende Rohstoffe und Kunststoffe; Teil B: Umweltchemie und Chemie im Menschen
036374,Modul FV: Seminar: Schulexperimente zu Themen des Teil B
036375,Modul FV: Laborpraktikum: Schulexperimente zu Themen des Teil B
036376,Modul FV: Fachwissenschaftliche und fachdidaktische Vertiefung - Vorlesung Angewandte Chemie: Teil A: Nachwachsende Rohstoffe und Kunststoffe; Teil B: Umweltchemie und Chemie im Menschen
036377,Modul MAr: Begleitseminar zur Masterarbeit
036303,Modul DC-1: Didaktik der Chemie 1 Laborpraktikum
036350,Modul DC II: Didaktik des Chemieunterrichts II Seminar mit Laborpraktikum - Kontextorientierte Erarbeitung ausgewählter Kapitel der Schulchemie
036351,Modul DC II:  Didaktik des Chemieunterrichts II Seminar - Methoden fachdidaktischer Forschung
036381,Planung von Chemieunterricht unter förderpädagogischer Perspektive
080017,Signale und Systeme B
080123,Mehrgrößensysteme und optimale Regelung
080124,Übung zu Mehrgrößensysteme und optimale Regelung
064012,SM - Tutorium Strömungsmechanik II
067043,TH - Tutorium Thermodynamik II für Bio- und Chemieingenieurwesen
066047,FVT - Transportprozesse Tutorium
0666y1,Fachschaftstutorium - HöMa III
0666y4,Fachschaftstutorium - HöMa I
0666y5,Fachschaftstutorium - Technische Mechanik
060200,Gruppenarbeit Fakultät BCI
060801,AD - Apparatetechnik
060811,AD - Sicherheitstechnik
061030,APT - Anlagen- und Prozesstechnik
061032,APT - Einführung in die stationäre Simulation
065502,BPT - Einführung in das Bioingenieurwesen
061500,DYN - Einführung in die Programmierung
061501,DYN - Einführung in die Programmierung CIW
065440,TB - Mikrobiologie 2
065601,TB - Mikrobiologie I
065825,TB - Technisches Englisch für Bio- und Chemieingenieurwesen Gruppe B (Anmeldepflichtig)
065606,TBL - Gentechnik
065902,TBL - Zellbiologische Systeme
067040,TH - Thermodynamik II für Bio- und Chemieingenieurwesen
067041,TH - Thermodynamik II für Bio- und Chemieingenieurwesen
060501,BIW-Praktikum 2 (anmeldepflichtig)
063130,AD - Bubbles and drops in chemical and biochemical processes
061080,APT - Technische Chromatographie (anmeldepflichtig)
061088,APT - Einführung in die Kristallisation (anmeldepflichtig)
068002,BMP - Werkstoffkunde 2
068180,BMP - Mikro- und Nanoanalytik 2
068189,BMP - Klausur Mikro- und Nanoanalytik 2
068190,BMP - Polymerphysik
068199,BMP - Klausur Polymerphysik
068600,BMP - Polymersynthese und -charakterisierung
068699,BMP - Klausur Polymersynthese
065190,CVT - The painless way to LabView (Bachelor)
065515,BVT - Immobilisierte Enzyme und deren technische Anwendung
065517,BVT - Lebensmitteltechnologie
061622,DYN - Sicheres und optimiertes Betreiben von Anlagen in der Chemie- und Pharmaindustrie
064010,SM - Strömungsmechanik II
064140,SM - Strömungen mit freien Grenzflächen
064182,SM - Mathematische und numerische Methoden für Stroemungs- und Transportprozesse (Blockveranstaltung)
064183,SM - Mathematische und numerische Methoden für Stroemungs- und Transportprozesse (Blockveranstaltung)
064242,SM - Ausgewählte Phänomene in der Strömungsmechanik
064243,SM - Ausgewählte Phänomene in der Strömungsmechanik
065906,TB - TOP Bachelor / TOP Master
065064,TC - Industrielle Prozesse nachwachsender Rohstoffe
067117,TH - Rationelle Energieverwendung in der Verfahrenstechnik
068251,BMP - Seminar intern
065434,TB - Bioingenieurwesen: Mikrobiologie - Praktikum (anmeldepflichtig)
067042,TH - Thermodynamik II für Bio- und Chemieingenieurwesen (Anmeldepflicht)
060501,BIW-1-Praktikum Teil 1 für Bachelor BIW 2015 (anmeldepflichtig)
060003,Betreuung Bachelorarbeit
0666y6,Fachschaftstutorium - SM I
065104,CVT - Technische Chemie I (Reaktionstechnik) für Studierende der Chemie
065105,CVT - Technische Chemie I (Reaktionstechnik) für Studierende der Chemie
061502,DYN - Einführung in die Programmierung BIW
066045,FVT - Transportprozesse
066046,FVT - Transportprozesse
064011,SM - Strömungsmechanik II
065823,TB- Einführung in das Bioingenieurwesen für CIW
065824,TB - Technisches Englisch für Bio- und Chemieingenieurwesen (Anmeldepflichtig!) Gruppe A
065826,TB - Technisches Englisch für Bio - und Chemieingenieurwesen (Anmeldepflichtig!) Gruppe C
065827,TB - Technisches Englisch für Bio- und Chemieingenieurwesen (Anmeldepflichtig!)  - Gruppe D
065904,TB - Technisches Englisch für Bio- und Chemieingenieurwesen (Anmeldepflichtig!)  - Gruppe E
065028,TC - Chemische Technik I
065029,TC - Chemische Technik I
069510,ISAS - Chemische Analytik
060500,CIW Praktikum 2 (anmeldepflichtig)
060504/060508,CIW/BIW-2-Praktikum Teil 2 (anmeldepflichtig)
060506,CIW-1-Praktikum Teil 2 für Bachelor CIW 2015 (anmeldepflichtig)
060823,AD - GMP /  Good Manufacturing Practice und Qualitätssicherung
065604,BPT - Systembiotechnologie
065505,"BVT - Bioprozesstechnik (alt BVT, Studienleistung Praktikum nach Aushang)"
065506,BVT - Bioprozesstechnik (alt BVT)
063305,FSV - Mechanische Verfahrenstechnik II
063306,FSV - Mechanische Verfahrenstechnik II
065821,TB - Pharmazeutische Biotechnologie
061060,"APT - Professionell kommunizieren, präsentieren und auftreten (anmeldepflichtig)"
061074,APT - Steady State Simulation (anmeldepflichtig)
061082,APT - Bioprocesssimulation (anmeldepflichtig)
061089,APT - Modulbasierte Anlagenplanung (anmeldepflichtig)
065130,CVT - Heterogene Katalyse
065131,CVT - Heterogene Katalyse
063180,FSV - Polymeraufarbeitung
063307,FSV - Mechanische Verfahrenstechnik II (anmeldepflichtig)
066110/066111,FVT - Dimensionierung thermischer Trennapparate (anmeldepflichtig)
065609,TBL  - Fundamentals of Synthetic Biology
065635,TBL - Interdisziplinäre Wissenschaftskommunikation
065054,TC - Wertschöpfung in der chemischen Industrie
065068,TC - Homogene Katalyse
067110,TH - Biothermodynamik
065509,BPT - Virtuelles Praktikum Bioprozesstechnik
060004,Betreuung Masterarbeit
065200,CVT - Reaction Engineering M.Sc.
065201,CVT - Reaction Engineering M.Sc.
060043,FVT - Thermische Verfahrenstechnik II MS (anmeldepflichtig)
066040,FVT - Thermische Verfahrenstechnik II MS
066041,FVT - Thermische Verfahrenstechnik II MS
060502,PSE Lab 1
065095,TC - Spezielle Probleme sequenzieller Technischer Reaktionen
065202,CVT - Reaktionstechnik M.Sc.
061700,DYN - Process Control Lab.
066140,FVT - Fluid Separations
066141,FVT - Fluid Separations
065510,BVT - Biochemical Reaction Engineering
065512,BVT - Downstream processing
065513,BVT - Downstream processing
065514,BVT - Biotechnological Processes
065710,TC/CVT - Einführung in die Technische Chemie für Studierende der Chemie
071004,Automatisierungs- und Robotertechnik III (Master)
071005,Automatisierungs- und Robotertechnik III (Master)
071036,Application of Robots
071083,Logistiklabor
071084,Wirtschaftsingenieurwissenschaftliches Labor
071085,Fachlabor (Master)
071086,Projektarbeit (Master)
071087,Fachwissenschaftliche Projektarbeit (Teamarbeit)
071088,Bachelorarbeit
071089,Masterarbeit
